"dttm","vale1","vole"
"2025-03-05","61.89","0"
"2025-03-05","61.95","1"
"2025-03-05","61.95","0"
"2025-03-05","61.95","0"
"2025-03-05","61.92","1"
"2025-03-05","61.92","0"
"2025-03-05","61.92","0"
"2025-03-05","61.98","325"
"2025-03-05","61.98","0"
"2025-03-05","61.97","80"
"2025-03-05","61.97","0"
"2025-03-05","61.97","0"
"2025-03-05","61.97","0"
"2025-03-05","61.90","602"
"2025-03-05","61.90","0"
"2025-03-05","61.90","0"
"2025-03-05","62.01","5"
"2025-03-05","62.00","500"
"2025-03-05","62.01","3"
"2025-03-05","61.94","1"
"2025-03-05","61.94","0"
"2025-03-05","61.91","1"
"2025-03-05","61.93","509"
"2025-03-05","61.89","101"
"2025-03-05","61.93","92"
"2025-03-05","61.93","0"
"2025-03-05","61.93","0"
"2025-03-05","61.84","10"
"2025-03-05","61.93","80"
"2025-03-05","61.93","0"
"2025-03-05","61.93","0"
"2025-03-05","61.93","0"
"2025-03-05","61.94","1"
"2025-03-05","61.94","0"
"2025-03-05","61.96","1"
"2025-03-05","61.95","10"
"2025-03-05","61.95","0"
"2025-03-05","61.95","100"
"2025-03-05","61.95","0"
"2025-03-05","61.95","0"
"2025-03-05","61.84","100"
"2025-03-05","61.95","161"
"2025-03-05","61.95","0"
"2025-03-05","61.95","1"
"2025-03-05","61.95","728"
"2025-03-05","61.94","31"
"2025-03-05","62.03","20"
"2025-03-05","62.03","0"
"2025-03-05","61.97","325"
"2025-03-05","62.06","51"
"2025-03-05","62.06","0"
"2025-03-05","62.06","0"
"2025-03-05","62.06","0"
"2025-03-05","62.06","0"
"2025-03-05","62.06","1"
"2025-03-05","62.06","1"
"2025-03-05","62.12","4"
"2025-03-05","62.12","0"
"2025-03-05","62.10","100"
"2025-03-05","62.11","64"
"2025-03-05","62.11","4"
"2025-03-05","62.11","4"
"2025-03-05","62.11","0"
"2025-03-05","62.11","0"
"2025-03-05","62.04","127"
"2025-03-05","62.14","3"
"2025-03-05","62.14","0"
"2025-03-05","62.15","10"
"2025-03-05","62.15","0"
"2025-03-05","62.15","0"
"2025-03-05","62.12","5"
"2025-03-05","62.12","0"
"2025-03-05","62.11","1"
"2025-03-05","62.10","97"
"2025-03-05","62.12","1"
"2025-03-05","62.01","11"
"2025-03-05","62.01","0"
"2025-03-05","62.01","0"
"2025-03-05","62.01","0"
"2025-03-05","62.11","135"
"2025-03-05","62.10","100"
"2025-03-05","62.17","1047"
"2025-03-05","62.15","651"
"2025-03-05","62.19","500"
"2025-03-05","62.01","1200"
"2025-03-05","62.16","8"
"2025-03-05","62.16","3"
"2025-03-05","62.16","0"
"2025-03-05","62.15","137"
"2025-03-05","62.15","0"
"2025-03-05","62.16","910"
"2025-03-05","62.16","0"
"2025-03-05","62.04","2268"
"2025-03-05","62.42","1157"
"2025-03-05","62.42","0"
"2025-03-05","62.42","0"
"2025-03-05","62.42","0"
"2025-03-05","62.42","0"
"2025-03-05","62.22","50"
"2025-03-05","62.22","0"
"2025-03-05","62.22","0"
"2025-03-05","60.99","675"
"2025-03-05","60.74","2437"
"2025-03-05","60.74","17983"
"2025-03-05","61.00","1216"
"2025-03-05","61.10","5092"
"2025-03-05","61.00","1"
"2025-03-05","60.99","292"
"2025-03-05","61.06","66"
"2025-03-05","61.08","573"
"2025-03-05","61.12","64"
"2025-03-05","61.06","4"
"2025-03-05","61.14","17"
"2025-03-05","61.11","211"
"2025-03-05","61.27","156"
"2025-03-05","61.30","33"
"2025-03-05","61.23","416"
"2025-03-05","61.22","468"
"2025-03-05","61.20","116"
"2025-03-05","61.28","449"
"2025-03-05","61.22","15"
"2025-03-05","61.23","50"
"2025-03-05","61.28","55"
"2025-03-05","61.38","747"
"2025-03-05","61.34","803"
"2025-03-05","61.39","610"
"2025-03-05","61.35","20"
"2025-03-05","61.36","121"
"2025-03-05","61.47","872"
"2025-03-05","61.45","4"
"2025-03-05","61.49","918"
"2025-03-05","61.48","486"
"2025-03-05","61.46","75"
"2025-03-05","61.46","1442"
"2025-03-05","61.51","605"
"2025-03-05","61.59","12"
"2025-03-05","61.48","445"
"2025-03-05","61.53","26"
"2025-03-05","61.53","28"
"2025-03-05","61.50","606"
"2025-03-05","61.50","2"
"2025-03-05","61.49","3151"
"2025-03-05","61.54","25"
"2025-03-05","61.58","102"
"2025-03-05","61.61","185"
"2025-03-05","61.53","2002"
"2025-03-05","61.65","52"
