timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-03-17,351.3500,354.5000,349.1000,350.7500,350.7500,445161,0.0000
2025-03-13,356.9500,362.8000,344.1500,350.7500,350.7500,1750166,0.0000
2025-03-07,338.5500,360.4500,332.0000,351.3000,351.3000,2074852,0.0000
2025-02-28,355.1500,356.9500,335.4500,339.1000,339.1000,1947746,0.0000
2025-02-21,336.6500,362.3000,326.2500,357.4000,357.4000,2924526,0.0000
2025-02-14,366.7500,368.4000,332.1500,337.2000,337.2000,2733468,0.0000
2025-02-07,361.4000,378.9500,343.3500,366.7500,366.7500,6313823,0.0000
2025-01-24,374.4500,376.2000,352.2000,363.3500,363.3500,2309167,0.0000
2025-01-17,352.6000,375.4500,338.5000,373.6500,373.6500,3548193,0.0000
2025-01-10,396.6500,397.0000,355.1000,356.3000,356.3000,2868099,0.0000
2025-01-03,399.1500,402.9000,385.4500,396.6500,396.6500,4417301,0.0000
2024-12-27,403.4500,408.2000,396.8500,399.1000,399.1000,2609149,0.0000
2024-12-20,428.3000,430.4500,400.1000,401.2500,401.2500,1532062,0.0000
2024-12-13,443.3500,447.7000,420.5000,428.3000,428.3000,3358564,0.0000
2024-12-06,413.8500,442.3500,412.0500,439.4500,439.4500,4259898,0.0000
2024-11-29,420.3500,423.9000,408.0000,414.0500,414.0500,2841130,0.0000
2024-11-22,407.0500,417.8000,397.5000,413.5500,413.5500,3494564,0.0000
2024-11-14,432.4000,437.6500,397.0000,404.6500,404.6500,3781460,0.0000
2024-11-08,446.7000,454.8000,426.0000,432.6000,432.6000,3251956,0.0000
2024-11-01,422.5000,448.5000,415.0000,445.2000,445.2000,4798297,0.0000
2024-10-25,454.6500,465.5500,414.8500,422.4000,422.4000,3452480,0.0000
2024-10-18,464.7000,474.3000,443.0000,453.5000,453.5000,4813252,0.0000
2024-10-11,467.1000,477.8000,438.9000,461.0000,461.0000,6611912,0.0000
2024-10-04,486.0000,491.2500,460.6000,466.7000,466.7000,3719186,0.0000
2024-09-27,444.4500,494.8500,444.4500,485.1000,485.1000,8411178,0.0000
2024-09-20,443.2000,451.6000,430.8000,444.2000,444.2000,4039651,0.0000
2024-09-13,416.9500,449.5000,411.1500,441.8500,441.8500,7645465,0.0000
2024-09-06,435.3500,436.6000,414.6500,416.9500,416.9500,3143087,0.0000
2024-08-30,420.1000,436.0000,417.0000,434.5500,434.5500,4921764,0.0000
2024-08-23,417.0000,427.0000,415.1500,418.0000,418.0000,1651441,0.0000
2024-08-16,416.8000,422.8000,403.1000,413.5000,413.5000,4955728,0.0000
2024-08-09,445.0000,452.6000,416.3000,417.8000,417.8000,7292404,0.0000
2024-08-02,447.9500,470.8500,440.3500,460.3000,460.3000,8344273,0.0000
2024-07-26,414.3500,446.2000,400.0000,444.6500,444.6500,5909897,0.0000
2024-07-19,435.9000,445.2500,412.8000,414.1500,414.1500,4676230,0.0000
2024-07-12,440.5000,444.5000,426.9000,434.0500,434.0500,2612252,0.0000
2024-07-05,440.6000,442.2500,428.1500,439.8000,439.8000,5111640,2.0000
2024-06-28,435.3500,444.6000,426.5000,440.5000,440.5000,4330140,0.0000
2024-06-21,450.4500,453.6500,436.6000,438.7000,438.7000,2166650,0.0000
2024-06-14,449.5000,458.4500,445.1500,448.6000,448.6000,5822106,0.0000
2024-06-07,456.5500,460.0000,377.2000,443.4500,441.4055,13274714,0.0000
2024-05-31,449.0000,452.4500,422.8000,436.8000,434.7862,4731016,0.0000
2024-05-24,443.0000,452.9000,436.4500,447.3500,445.2875,3182194,0.0000
2024-05-17,412.5500,439.9500,396.5000,436.3000,434.2885,5478929,0.0000
2024-05-10,459.5500,459.5500,404.0500,414.7500,412.8378,9348941,0.0000
2024-05-03,440.0000,464.3000,437.3000,454.6000,452.5041,5228769,0.0000
2024-04-26,433.9000,440.4000,426.9000,436.7500,434.7364,4379488,0.0000
2024-04-19,400.1500,442.9500,400.1500,428.0000,426.0267,9850108,0.0000
2024-04-12,417.8000,444.1000,414.9500,437.0500,435.0350,6316815,0.0000
2024-04-05,399.6500,419.9000,398.0000,414.5000,412.5890,4426440,0.0000
2024-03-28,390.7000,399.0000,387.6500,394.1500,392.3328,2566016,0.0000
2024-03-22,382.4000,395.5000,371.2500,390.7000,388.8987,4178359,0.0000
2024-03-15,415.0000,421.3500,365.6000,380.6500,378.8950,7776169,0.0000
2024-03-07,381.4000,433.2000,381.0000,424.9500,422.9908,6724163,0.0000
2024-03-01,379.0000,381.4500,363.0500,377.4000,375.6600,3341776,0.0000
2024-02-23,385.0000,385.7500,369.4000,378.3000,376.5559,3953673,0.0000
2024-02-16,380.9000,386.2000,354.6500,376.1500,374.4158,10407467,0.0000
2024-02-09,395.9500,412.7500,384.0500,392.1000,390.2923,8438072,0.0000
2024-02-02,370.4500,396.7000,366.8000,389.7500,387.9531,8633961,0.0000
2024-01-25,366.4000,366.5500,341.3000,365.0500,363.3670,7075300,0.0000
2024-01-19,360.1000,360.6500,335.3000,348.6500,347.0426,5709575,0.0000
2024-01-12,345.1500,361.9500,337.5000,357.6500,356.0011,7059906,0.0000
2024-01-05,334.6500,349.6500,319.8000,340.7000,339.1292,5540165,0.0000
